Geo Point,Geo Shape,he_loop,lift,pids,station
"-37.818922999999984, 145.21189500000003","{""coordinates"": [145.21189500000003, -37.818922999999984], ""type"": ""Point""}",Yes,Yes,LCD,Heatherdale
"-37.827849999999955, 145.24430600000005","{""coordinates"": [145.24430600000005, -37.827849999999955], ""type"": ""Point""}",No,No,Dot Matrix,Heathmont
"-37.83466999999996, 145.02263400000004","{""coordinates"": [145.02263400000004, -37.83466999999996], ""type"": ""Point""}",No,No,No,Heyington
"-37.948095999999964, 145.04163400000004","{""coordinates"": [145.04163400000004, -37.948095999999964], ""type"": ""Point""}",No,No,Dot Matrix,Highett
"-37.874292999999966, 145.091183","{""coordinates"": [145.091183, -37.874292999999966], ""type"": ""Point""}",No,No,Dot Matrix,Holmesglen
"-37.88326999999998, 144.70104700000002","{""coordinates"": [144.70104700000002, -37.88326999999998], ""type"": ""Point""}",No,No,Dot Matrix,Hoppers Crossing
"-37.639453, 145.19208100000003","{""coordinates"": [145.19208100000003, -37.639453], ""type"": ""Point""}",No,No,Dot Matrix,Hurstbridge
"-37.83982099999997, 145.03312100000005","{""coordinates"": [145.03312100000005, -37.83982099999997], ""type"": ""Point""}",No,No,LCD,Kooyong
"-37.66541599999999, 145.01740800000005","{""coordinates"": [145.01740800000005, -37.66541599999999], ""type"": ""Point""}",No,No,Dot Matrix,Lalor
"-38.15180499999997, 145.13889200000006","{""coordinates"": [145.13889200000006, -38.15180499999997], ""type"": ""Point""}",No,No,No,Leawarra
"-37.809699999999964, 144.963757","{""coordinates"": [144.963757, -37.809699999999964], ""type"": ""Point""}",Yes,Yes,LCD,Melbourne Central
"-38.07900999999998, 145.26349100000004","{""coordinates"": [145.26349100000004, -38.07900999999998], ""type"": ""Point""}",No,No,Dot Matrix,Merinda Park
"-37.77777299999997, 144.99299600000006","{""coordinates"": [144.99299600000006, -37.77777299999997], ""type"": ""Point""}",No,No,No,Merri
"-37.915134999999964, 144.99629900000002","{""coordinates"": [144.99629900000002, -37.915134999999964], ""type"": ""Point""}",No,No,No,Middle Brighton
