property_id,block_id,seating_type,clue_small_area,trading_name,x_coordinate,y_coordinate,industry_anzsic4_description
110761,16,Seats - Indoor,Melbourne (CBD),Chapter House Coffee,144.9676946,-37.81676378,Takeaway Food Services
558180,1103,Seats - Indoor,Docklands,The Medallion Club,144.9475776,-37.81656591,Cafes and Restaurants
559161,801,Seats - Indoor,Southbank,Gainsville Cafe,144.9645668,-37.82166549,Cafes and Restaurants
628714,1105,Seats - Outdoor,Docklands,Mr Collins,144.9494345,-37.82089145,Cafes and Restaurants
101789,25,Seats - Outdoor,Melbourne (CBD),Jungle Juice Bar,144.9655966,-37.8166033,Takeaway Food Services
625840,47,Seats - Indoor,Melbourne (CBD),Healthy Habits Cafe,144.9701092,-37.81281453,Cafes and Restaurants
568077,258,Seats - Outdoor,Carlton,Porta Via,144.960034,-37.80240996,Cafes and Restaurants
108581,67,Seats - Indoor,Melbourne (CBD),Izakaya Chuji Japanese Restaurant,144.9676444,-37.81098272,Cafes and Restaurants
102714,216,Seats - Indoor,Carlton,Markov,144.9692712,-37.79771074,Cafes and Restaurants
602256,571,Seats - Outdoor,Kensington,Zigzag Salads & Burgers,144.9155212,-37.78257294,Cafes and Restaurants
106224,247,Seats - Outdoor,Carlton,Alpino Restaurant,144.9671843,-37.80103476,Cafes and Restaurants
105762,77,Seats - Indoor,Melbourne (CBD),Melbourne Marriott Hotel,144.9691658,-37.80987617,Accommodation
105484,94,Seats - Outdoor,Melbourne (CBD),Klik Cafe ,144.9604349,-37.81010387,Cafes and Restaurants
101789,25,Seats - Outdoor,Melbourne (CBD),3 Lt Monkeys,144.9655966,-37.8166033,Takeaway Food Services
105930,34,Seats - Outdoor,Melbourne (CBD),Nori Nori,144.9624392,-37.81585501,Cafes and Restaurants
594107,255,Seats - Indoor,Carlton,El Pronto,144.9636402,-37.80430744,Cafes and Restaurants
110669,34,Seats - Indoor,Melbourne (CBD),Viet St,144.9629844,-37.81570426,Takeaway Food Services
104445,248,Seats - Outdoor,Carlton,La Cacciatora Restaurant,144.9685975,-37.80116198,Cafes and Restaurants
103393,345,Seats - Outdoor,North Melbourne,Joe Taylor,144.9490127,-37.80479755,"Pubs, Taverns and Bars"
105656,58,Seats - Indoor,Melbourne (CBD),Saigon Inn Vietnamese Restaurant,144.9713242,-37.81131159,Cafes and Restaurants
531599,660,Seats - Indoor,Melbourne (Remainder),The Westpac Centre Cafe,144.9823854,-37.82487806,Cafes and Restaurants
105654,243,Seats - Outdoor,Carlton,Bouverie Deli,144.9627288,-37.8013409,Cafes and Restaurants
105712,62,Seats - Indoor,Melbourne (CBD),Cafe Dominoes,144.9566434,-37.81427826,Cafes and Restaurants
108843,1,Seats - Outdoor,Melbourne (CBD),Gangnam Style No1,144.9563969,-37.8213142,Takeaway Food Services
102115,32,Seats - Outdoor,Melbourne (CBD),Roast & Brew,144.9568348,-37.81767359,Takeaway Food Services
106186,214,Seats - Indoor,Carlton,Astor Hotel,144.9678126,-37.79694555,"Pubs, Taverns and Bars"
105746,85,Seats - Indoor,Melbourne (CBD),Vacant,144.9630189,-37.81073331,Vacant Space
659717,66,Seats - Indoor,Melbourne (CBD),Shujinko,144.9671363,-37.81134266,Cafes and Restaurants
531599,660,Seats - Indoor,Melbourne (Remainder),Collingwood Football Club Limited,144.9823854,-37.82487806,Sports and Physical Recreation Clubs and Sports Professionals
105388,52,Seats - Outdoor,Melbourne (CBD),Kedai Satay,144.9556966,-37.8156735,Cafes and Restaurants
101788,25,Seats - Indoor,Melbourne (CBD),Eliana Lulu,144.9654744,-37.81664468,Cafes and Restaurants
102091,24,Seats - Outdoor,Melbourne (CBD),O-Bento,144.9627888,-37.81722704,Cafes and Restaurants
103107,217,Seats - Indoor,Carlton,Ultimate Coffee Bar,144.9682099,-37.79746832,Cafes and Restaurants
106291,652,Seats - Outdoor,East Melbourne,Treasury Eats Cafe ,144.9755868,-37.81264492,Cafes and Restaurants
105516,257,Seats - Indoor,Carlton,The Corkman Irish Pub,144.960916,-37.80243195,"Pubs, Taverns and Bars"
103613,87,Seats - Outdoor,Melbourne (CBD),65 Degrees ,144.9687244,-37.80874125,Cafes and Restaurants
101789,25,Seats - Outdoor,Melbourne (CBD),Centro Espresso Caffe,144.9655966,-37.8166033,Takeaway Food Services
105726,72,Seats - Outdoor,Melbourne (CBD),Suda,144.9560169,-37.8134766,Cafes and Restaurants
